RBP,module
HERC5,ME36
METTL14,ME36
METTL3,ME36
PARK7,ME36
SOX2,ME36
WTAP,ME36
ARHGEF28,ME37
BICC1,ME37
BMS1,ME37
BST2,ME37
CELF2,ME37
CKAP4,ME37
CORO1A,ME37
CPNE3,ME37
DDX17,ME37
FAM98A,ME37
FLNB,ME37
FTO,ME37
HDLBP,ME37
HNRNPDL,ME37
KIF1C,ME37
KRT18,ME37
METTL14,ME37
METTL3,ME37
MYO5A,ME37
NUPL2,ME37
NXF3,ME37
PIWIL4,ME37
PKP3,ME37
PNISR,ME37
RBM48,ME37
RBMS3,ME37
RPL15,ME37
RPL30,ME37
RPL9,ME37
RPS25,ME37
RPS27,ME37
SPI1,ME37
SPTBN1,ME37
WT1,ME37
WTAP,ME37
ZFR,ME37
ZMAT1,ME37
DAP3,ME39
FTO,ME39
METTL14,ME39
METTL3,ME39
MYEF2,ME39
RBM39,ME39
RPL37,ME39
WTAP,ME39
ZFR,ME39
ACO1,ME40
CNP,ME40
CORO1A,ME40
DHX32,ME40
EIF3L,ME40
FTO,ME40
KRR1,ME40
METTL14,ME40
METTL3,ME40
PABPC3,ME40
RPL13,ME40
SMAD1,ME40
SNRPA,ME40
SRF,ME40
WTAP,ME40
ZCCHC7,ME40
APOBEC3H,ME41
CNP,ME41
FTO,ME41
LRRC59,ME41
METTL14,ME41
METTL3,ME41
WTAP,ME41
FTO,ME42
METTL14,ME42
METTL3,ME42
WTAP,ME42
ZC3H13,ME42
RBM15,ME42
ALKBH5,ME42
