RBP,module
AHNAK2,ME12
ALDOA,ME12
ANXA1,ME12
ANXA2,ME12
ARHGEF28,ME12
CBX4,ME12
CHD3,ME12
CSRP1,ME12
DDX25,ME12
EIF3C,ME12
EIF4G1,ME12
EIF5A2,ME12
ELAVL2,ME12
ESRP2,ME12
FAM120A,ME12
FTO,ME12
GOLGB1,ME12
HDAC2,ME12
HDLBP,ME12
HSPB1,ME12
LGALS1,ME12
LIN28A,ME12
LSM7,ME12
MAP4,ME12
MBNL1,ME12
MBNL2,ME12
METTL14,ME12
METTL3,ME12
MSN,ME12
MTDH,ME12
MYH9,ME12
NABP1,ME12
NOL3,ME12
NR3C1,ME12
NSUN5P2,ME12
NSUN7,ME12
NUDT5,ME12
P4HB,ME12
PAPD5,ME12
PLEC,ME12
PRDM14,ME12
PTCD1,ME12
PURA,ME12
RARA,ME12
RBMS2,ME12
RFTN1,ME12
RPL22,ME12
RRP8,ME12
SAMD4A,ME12
SCG3,ME12
SRSF7,ME12
TRIM71,ME12
VIM,ME12
WTAP,ME12
ZFP36L1,ME12
ZNFX1,ME12
ADAT1,ME13
ARF1,ME13
CAPRIN1,ME13
CCDC86,ME13
CDK13,ME13
DDX39A,ME13
DDX59,ME13
DEK,ME13
DIMT1,ME13
EIF2S3L,ME13
EIF3C,ME13
FAM133B,ME13
FAM32A,ME13
FARS2,ME13
FDPS,ME13
FSCN1,ME13
FTO,ME13
GRB2,ME13
GRN,ME13
GTPBP1,ME13
HDGF,ME13
HNRNPA0,ME13
KHNYN,ME13
LLPH,ME13
LRRFIP1,ME13
METTL14,ME13
METTL3,ME13
MRPL16,ME13
MRPL32,ME13
MRPS30,ME13
MSN,ME13
NANOS1,ME13
NDUFV3,ME13
NOP10,ME13
NR3C1,ME13
NSUN5P2,ME13
NUDT4,ME13
NUFIP1,ME13
NUFIP2,ME13
P4HB,ME13
PARP12,ME13
PCBP1,ME13
PTCD1,ME13
PTPN1,ME13
RBM4,ME13
RBM4B,ME13
RPS16,ME13
RRP8,ME13
SF3B4,ME13
SF3B5,ME13
SPTBN1,ME13
SRFBP1,ME13
SUGP1,ME13
SYNCRIP,ME13
TDRD3,ME13
TRIM21,ME13
TRIM25,ME13
UBE2N,ME13
UTP3,ME13
WTAP,ME13
ZNF346,ME13
ZRSR2,ME13
AATF,ME14
ACIN1,ME14
ADAR,ME14
ADAT1,ME14
ADD1,ME14
AHNAK,ME14
AKAP1,ME14
AKAP8,ME14
AKAP8L,ME14
ALDOA,ME14
ALKBH1,ME14
ALKBH5,ME14
ALKBH8,ME14
APOBEC3B,ME14
APOBEC3F,ME14
ARCN1,ME14
ARF1,ME14
ARID5A,ME14
AUH,ME14
BAZ2A,ME14
BUD13,ME14
C11orf68,ME14
C14orf93,ME14
C7orf50,ME14
CALR,ME14
CARS,ME14
CBX4,ME14
CBX8,ME14
CCDC124,ME14
CCDC86,ME14
CDC42EP4,ME14
CDK13,ME14
CHD2,ME14
CHTOP,ME14
CMSS1,ME14
CNOT8,ME14
COA6,ME14
CPSF7,ME14
CRKL,ME14
CSTF1,ME14
CSTF2T,ME14
CSTF3,ME14
CWC22,ME14
DCP2,ME14
DDX1,ME14
DDX19B,ME14
DDX23,ME14
DDX24,ME14
DDX59,ME14
DEK,ME14
DHX58,ME14
DIAPH1,ME14
DIDO1,ME14
DIMT1,ME14
DIS3L2,ME14
DNAJC17,ME14
DTD1,ME14
DUSP11,ME14
DYNC1LI1,ME14
EDF1,ME14
EEFSEC,ME14
EFCAB5,ME14
EIF1AD,ME14
EIF2B2,ME14
EIF2D,ME14
EIF2S2,ME14
EIF2S3L,ME14
EIF3A,ME14
EIF3C,ME14
EIF3CL,ME14
EIF4H,ME14
EIF5,ME14
ELAVL1,ME14
EMG1,ME14
ERAL1,ME14
ERI3,ME14
EWSR1,ME14
EXOSC6,ME14
FAM103A1,ME14
FAM120C,ME14
FAM133B,ME14
FAM32A,ME14
FARS2,ME14
